,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,uri,duration_ms
89,0.86,0.524,-4.698,0.0729,0.578,0.0993,0.142,114.946,spotify:track:6rF4PCqJq0p4MAWgecwfIl,148939
90,0.425,0.508,-10.01,0.13,0.0639,0.244,0.0679,130.83700000000002,spotify:track:0K1fOHUHEsv1lnq2yU1VG5,142232
91,0.494,0.695,-10.566,0.7509999999999999,0.00421,0.223,0.0722,155.01,spotify:track:5dBP9gDiDlsXiitxvB4HGb,197077
92,0.649,0.772,-5.332000000000001,0.133,0.7170000000000001,0.103,0.0294,219.946,spotify:track:0kHEr6iF9m7mrkTjv9pbZ6,219749
93,0.8140000000000001,0.758,-6.5120000000000005,0.384,0.185,0.204,0.82,159.94,spotify:track:5twSsmNWVzQ5VNA6GzwtHn,131590
94,0.37,0.856,-5.489,0.401,0.4029999999999999,0.18,0.0755,158.764,spotify:track:7lnCmYYscC0mijoPe3Blx8,236301
95,0.888,0.906,-4.0280000000000005,0.365,0.221,0.266,0.477,125.033,spotify:track:4Qwnjgav8p1B2F1EgcMQRW,137822
96,0.816,0.62,-7.803999999999999,0.51,0.255,0.251,0.265,144.981,spotify:track:73IDzojzHitmvwVovPG7V2,184733
97,0.713,0.8390000000000001,-6.377000000000001,0.349,0.00417,0.106,0.0369,150.004,spotify:track:0FP2R9giDksk3a1GUQLfOz,149230
98,0.449,0.645,-4.784,0.0366,0.0095599999999999,0.107,0.0589,219.692,spotify:track:1PeIKwD4ifLR2jYWCsUgnX,207442
99,0.923,0.94,-5.827999999999999,0.16,0.0204,0.136,0.8390000000000001,139.804,spotify:track:0efgEM1LQDbK43rqPH2Iyd,187260
100,0.8320000000000001,0.802,-4.039,0.22,0.3429999999999999,0.139,0.178,220.012,spotify:track:3lTAwJ7GAsm6mFkRejOXIm,166798
101,0.569,0.7120000000000001,-4.9110000000000005,0.347,0.3779999999999999,0.144,0.0711,157.231,spotify:track:2U03OmZKC7YIPkYBgJnJfA,145451
102,0.476,0.825,-3.941,0.0379,7.44e-05,0.115,0.43,168.298,spotify:track:3jnTBMdckWNzC7PJV96kQ1,111491
103,0.4029999999999999,0.696,-5.956,0.236,0.00114,0.0722,0.0696,179.998,spotify:track:164uPGiUKnYHwJOHcgfy1e,272562
104,0.836,0.706,-4.065,0.0497,5.19e-05,0.0927,0.0374,120.045,spotify:track:1j82fFDqVM2Sgb8tfMidBv,76042
105,0.818,0.7090000000000001,-4.425,0.2689999999999999,0.00511,0.259,0.452,120.058,spotify:track:05ConZJSdJrCGeurdurJ7m,136777
106,0.8490000000000001,0.522,-5.513999999999999,0.151,0.0019,0.209,0.0582,119.975,spotify:track:6dCuGVBOQmVNEbRIDEUHy0,138266
107,0.703,0.536,-4.323,0.297,0.000883,0.139,0.161,180.048,spotify:track:0vWwLLUSleBmyBGmL5GbLv,107050
108,0.708,0.298,-16.427,0.0578,0.698,0.304,0.118,124.863,spotify:track:2JUs4EVimq0ShpPeIgeokl,139375
