,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms
154,0.7829999999999999,0.4970000000000001,-7.652,1,0.0508,0.0716,0.124,0.0381,212.026,133748
155,0.841,0.5760000000000001,-7.593,0,0.125,0.289,0.105,0.278,192.008,150205
156,0.685,0.402,-8.076,0,0.0734,0.208,0.402,0.107,119.917,104230
157,0.556,0.449,-10.363,1,0.227,0.0807,0.446,0.484,179.968,203960
158,0.625,0.45,-9.985,1,0.0311,0.0776,0.117,0.0362,185.948,206472
159,0.8,0.8240000000000001,-5.159,1,0.0604,0.0128,0.0527,0.462,150.023,128000
160,0.7340000000000001,0.7240000000000001,-5.648,1,0.267,0.0133,0.248,0.256,170.05,203294
161,0.777,0.742,-8.222999999999999,1,0.289,0.165,0.0957,0.605,125.0,130638
162,0.733,0.66,-6.87,0,0.0436,0.0219,0.151,0.259,138.034,227027
163,0.8029999999999999,0.789,-3.434,0,0.0383,0.0304,0.378,0.647,119.999,106021
164,0.649,0.5379999999999999,-9.793,0,0.0918,0.0483,0.0928,0.355,160.075,150000
165,0.58,0.867,-4.0310000000000015,0,0.165,0.0152,0.14,0.482,159.95,128109
166,0.8009999999999999,0.679,-8.747,0,0.0527,0.17,0.188,0.483,130.015,227115
167,0.677,0.655,-5.541,1,0.0433,0.0027,0.162,0.146,200.238,196827
168,0.623,0.716,-7.449,0,0.207,0.22,0.113,0.203,116.914,270000
169,0.797,0.542,-7.324,1,0.34600000000000003,0.018000000000000002,0.0838,0.313,155.862,110769
170,0.85,0.542,-6.922999999999999,1,0.231,0.53,0.0774,0.595,120.037,238853
171,0.743,0.411,-7.343,1,0.376,0.254,0.292,0.339,119.693,140657
172,0.8759999999999999,0.759,-1.889,1,0.0513,0.0224,0.475,0.271,113.996,168490
173,0.665,0.8270000000000001,-5.597,1,0.147,0.13,0.35100000000000003,0.12,143.026,201399
174,0.81,0.585,-7.037000000000001,0,0.28800000000000003,0.248,0.0959,0.281,139.968,137107
175,0.618,0.743,-4.458,1,0.234,0.0191,0.452,0.249,120.16,151690
176,0.622,0.8590000000000001,-1.541,1,0.213,0.0342,0.0797,0.29600000000000004,173.99400000000003,115862
177,0.674,0.6459999999999999,-9.423,1,0.4,0.117,0.104,0.222,160.028,123000
178,0.628,0.53,-9.663,0,0.0855,0.0608,0.0642,0.203,190.012,162000
179,0.877,0.655,-5.3,1,0.0769,0.00181,0.0948,0.119,127.947,120059
180,0.585,0.895,-3.663,0,0.136,0.0505,0.32,0.181,119.904,193567
181,0.7170000000000001,0.925,-4.246,1,0.311,0.244,0.287,0.412,137.989,212245
182,0.7140000000000001,0.853,-4.9,0,0.304,0.205,0.116,0.17800000000000002,204.068,220656
183,0.473,0.772,-6.332000000000002,0,0.317,0.0212,0.399,0.303,130.32,307905
184,0.767,0.637,-7.859,1,0.442,0.0673,0.105,0.536,160.123,136500
185,0.7190000000000001,0.7040000000000001,-5.23,1,0.093,0.138,0.0753,0.0808,113.007,297273
186,0.85,0.458,-6.622999999999998,1,0.206,0.00487,0.122,0.419,141.997,180454
187,0.672,0.574,-4.663,1,0.0993,0.0303,0.18,0.106,206.038,246773
188,0.758,0.716,-6.621,1,0.34600000000000003,0.607,0.0653,0.565,189.872,152999
189,0.76,0.774,-6.593,1,0.172,0.00972,0.199,0.493,148.0,191897
190,0.508,0.417,-8.699,0,0.0335,0.0231,0.128,0.337,193.92,126380
191,0.8690000000000001,0.5720000000000001,-9.086,1,0.55,0.0493,0.103,0.6579999999999999,152.11,114495
192,0.985,0.525,-10.637,1,0.185,0.0631,0.116,0.425,120.011,89234
193,0.738,0.7120000000000001,-6.273,0,0.0897,0.0226,0.0773,0.358,149.005,161493
194,0.675,0.574,-8.066,1,0.0559,0.0121,0.108,0.482,135.037,155693
195,0.8759999999999999,0.726,-7.572999999999999,0,0.101,0.0489,0.366,0.775,112.002,211331
196,0.725,0.5539999999999999,-10.66,1,0.0858,0.163,0.489,0.231,120.08,233932
197,0.89,0.422,-7.894,0,0.113,0.235,0.0925,0.374,129.998,135361
198,0.8490000000000001,0.413,-9.274,0,0.34600000000000003,0.00286,0.106,0.458,170.09599999999998,98655
199,0.695,0.6859999999999999,-8.147,0,0.0478,0.000424,0.365,0.354,210.438,93447
200,0.8759999999999999,0.519,-6.5310000000000015,1,0.14300000000000002,0.202,0.108,0.158,189.962,175230
201,0.463,0.632,-9.577,1,0.0525,0.393,0.127,0.0894,163.71,100260
202,0.7090000000000001,0.362,-13.556,1,0.249,0.165,0.107,0.455,146.023,187681
203,0.7709999999999999,0.5660000000000001,-5.607,1,0.264,0.0939,0.109,0.232,146.09799999999996,134795
204,0.136,0.821,-5.454,1,0.16,0.0965,0.325,0.0362,192.94,101983
205,0.476,0.495,-6.095,1,0.0242,3.28e-05,0.506,0.114,180.0,137231
206,0.499,0.893,-5.803,1,0.14,0.0731,0.0907,0.108,115.044,162261
207,0.851,0.634,-8.672,0,0.196,0.26,0.0766,0.0399,135.017,162614
208,0.241,0.928,-2.018,1,0.0543,3.26e-05,0.612,0.403,120.229,107822
209,0.622,0.635,-6.501,0,0.0418,0.6509999999999999,0.119,0.602,119.922,150017
210,0.745,0.703,-10.077,1,0.149,0.0345,0.095,0.402,144.933,92690
211,0.855,0.659,-5.867000000000001,1,0.092,0.0773,0.0957,0.736,119.989,152000
212,0.5489999999999999,0.44,-12.024,0,0.472,0.632,0.0909,0.132,218.41,300831
213,0.7020000000000001,0.5670000000000001,-10.223,0,0.197,0.604,0.359,0.195,120.081,195713
